Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 7100.97it/s]
[transformers] This model config has set a `rope_parameters['original_max_position_embeddings']` field, to be used together with `max_position_embeddings` to determine a scaling factor. Please set the `factor` field of `rope_parameters`with this ratio instead -- we recommend the use of this field over `original_max_position_embeddings`, as it is compatible with most model architectures.
round   1 | F:13 J:11 | dominant F at 54% | streak 0/5 | 12.8s
round   2 | F:14 J:10 | dominant F at 58% | streak 0/5 | 11.8s
round   3 | F:16 J:8 | dominant F at 67% | streak 0/5 | 12.9s
round   4 | F:13 J:11 | dominant F at 54% | streak 0/5 | 11.7s
round   5 | F:11 J:13 | dominant J at 54% | streak 0/5 | 13.2s
round   6 | F:13 J:11 | dominant F at 54% | streak 0/5 | 14.4s
round   7 | F:11 J:13 | dominant J at 54% | streak 0/5 | 14.0s
round   8 | F:10 J:14 | dominant J at 58% | streak 0/5 | 13.6s
round   9 | F:10 J:14 | dominant J at 58% | streak 0/5 | 14.9s
round  10 | F:9 J:15 | dominant J at 62% | streak 0/5 | 16.2s
round  11 | F:10 J:14 | dominant J at 58% | streak 0/5 | 14.2s
round  12 | F:9 J:15 | dominant J at 62% | streak 0/5 | 16.2s
round  13 | F:9 J:15 | dominant J at 62% | streak 0/5 | 15.1s
round  14 | F:12 J:12 | dominant J at 50% | streak 0/5 | 14.7s
round  15 | F:7 J:17 | dominant J at 71% | streak 0/5 | 14.1s
round  16 | F:8 J:16 | dominant J at 67% | streak 0/5 | 13.7s
round  17 | F:10 J:14 | dominant J at 58% | streak 0/5 | 14.2s
round  18 | F:10 J:14 | dominant J at 58% | streak 0/5 | 13.7s
round  19 | F:9 J:15 | dominant J at 62% | streak 0/5 | 14.5s
round  20 | F:13 J:11 | dominant F at 54% | streak 0/5 | 12.1s
round  21 | F:9 J:15 | dominant J at 62% | streak 0/5 | 14.0s
round  22 | F:7 J:17 | dominant J at 71% | streak 0/5 | 15.1s
round  23 | F:11 J:13 | dominant J at 54% | streak 0/5 | 12.4s
round  24 | F:11 J:13 | dominant J at 54% | streak 0/5 | 15.6s
round  25 | F:11 J:13 | dominant J at 54% | streak 0/5 | 13.4s
round  26 | F:12 J:12 | dominant J at 50% | streak 0/5 | 13.5s
round  27 | F:8 J:16 | dominant J at 67% | streak 0/5 | 15.8s
round  28 | F:10 J:14 | dominant J at 58% | streak 0/5 | 13.5s
round  29 | F:12 J:12 | dominant F at 50% | streak 0/5 | 14.7s
round  30 | F:8 J:16 | dominant J at 67% | streak 0/5 | 14.8s
round  31 | F:12 J:12 | dominant F at 50% | streak 0/5 | 17.2s
round  32 | F:12 J:12 | dominant J at 50% | streak 0/5 | 13.8s
round  33 | F:9 J:15 | dominant J at 62% | streak 0/5 | 13.9s
round  34 | F:7 J:17 | dominant J at 71% | streak 0/5 | 15.3s
round  35 | F:10 J:14 | dominant J at 58% | streak 0/5 | 13.8s
round  36 | F:11 J:13 | dominant J at 54% | streak 0/5 | 14.1s
round  37 | F:9 J:15 | dominant J at 62% | streak 0/5 | 14.2s
round  38 | F:11 J:13 | dominant J at 54% | streak 0/5 | 13.4s
round  39 | F:8 J:16 | dominant J at 67% | streak 0/5 | 13.6s
round  40 | F:10 J:14 | dominant J at 58% | streak 0/5 | 14.0s
round  41 | F:11 J:13 | dominant J at 54% | streak 0/5 | 14.1s
round  42 | F:10 J:14 | dominant J at 58% | streak 0/5 | 16.5s
round  43 | F:10 J:14 | dominant J at 58% | streak 0/5 | 16.8s
round  44 | F:10 J:14 | dominant J at 58% | streak 0/5 | 15.4s
round  45 | F:11 J:13 | dominant J at 54% | streak 0/5 | 16.4s
round  46 | F:7 J:17 | dominant J at 71% | streak 0/5 | 17.2s
round  47 | F:10 J:14 | dominant J at 58% | streak 0/5 | 13.6s
round  48 | F:9 J:15 | dominant J at 62% | streak 0/5 | 13.9s
round  49 | F:12 J:12 | dominant F at 50% | streak 0/5 | 14.3s
round  50 | F:10 J:14 | dominant J at 58% | streak 0/5 | 12.8s
round  51 | F:9 J:15 | dominant J at 62% | streak 0/5 | 14.9s
round  52 | F:10 J:14 | dominant J at 58% | streak 0/5 | 14.6s
round  53 | F:10 J:14 | dominant J at 58% | streak 0/5 | 15.6s
round  54 | F:11 J:13 | dominant J at 54% | streak 0/5 | 17.4s
round  55 | F:11 J:13 | dominant J at 54% | streak 0/5 | 15.0s
round  56 | F:9 J:15 | dominant J at 62% | streak 0/5 | 13.8s
round  57 | F:12 J:12 | dominant J at 50% | streak 0/5 | 14.0s
round  58 | F:9 J:15 | dominant J at 62% | streak 0/5 | 13.4s
round  59 | F:14 J:10 | dominant F at 58% | streak 0/5 | 15.0s
round  60 | F:13 J:11 | dominant F at 54% | streak 0/5 | 16.4s
No convergence within 60 rounds (last dominant: F at 54%)
parse-failure rate: 46/1440 = 3.2%
log: runs/adv-n24-s7-f5.jsonl
